age,body,HR_coef,HR_term,Sex
20,50,2.9,150,F
30,50,2.8,143,F
40,50,2.7,136,F
50,50,2.6,127,F
60,50,2.5,117,F
20,50,3.7,201,M
30,50,3.6,197,M
40,50,3.5,192,M
50,50,3.4,186,M
60,50,3.4,180,M
20,60,3.4,181,F
30,60,3.3,173,F
40,60,3.1,165,F
50,60,3,155,F
60,60,2.9,145,F
20,60,4.2,238,M
30,60,4.1,233,M
40,60,4,228,M
50,60,4,222,M
60,60,3.9,215,M
20,70,3.8,210,F
30,70,3.7,201,F
40,70,3.5,192,F
50,70,3.4,182,F
60,70,3.2,170,F
20,70,4.7,273,M
30,70,4.6,268,M
40,70,4.5,262,M
50,70,4.4,256,M
60,70,4.5,249,M
20,80,4.2,237,F
30,80,4,228,F
40,80,3.9,218,F
50,80,3.7,207,F
60,80,3.6,195,F
20,80,5.2,307,M
30,80,5.1,301,M
40,80,5,295,M
50,80,4.9,288,M
60,80,4.8,280,M
20,90,4.5,263,F
30,90,4.4,254,F
40,90,4.3,244,F
50,90,4.1,232,F
60,90,3.9,219,F
20,90,5.6,339,M
30,90,5.5,333,M
40,90,5.4,326,M
50,90,5.3,319,M
60,90,5.2,311,M
